time,gFx,gFy,gFz,TgF
6.039,-0.6579,-0.762,0.0295,1.0070000000000001
6.04,-0.6617,-0.7744,0.0349,1.0190000000000001
6.04,-0.6626,-0.7862,0.0388,1.0290000000000001
6.042,-0.6644,-0.797,0.0418,1.038
6.045,-0.6644,-0.8068,0.0452,1.046
6.047,-0.6648,-0.8161,0.0491,1.054
6.05,-0.6623,-0.8224,0.0515,1.057
6.052,-0.6627,-0.8342,0.0549,1.067
6.055,-0.6607,-0.8444,0.0584,1.074
6.057,-0.66,-0.8532,0.0598,1.08
6.06,-0.66,-0.8631,0.0623,1.088
6.064,-0.657,-0.8703,0.0647,1.092
6.065,-0.654,-0.8801,0.0696,1.099
6.067,-0.65,-0.8894,0.072,1.104
6.069,-0.646,-0.8963,0.0759,1.107
6.078,-0.6397,-0.9016,0.0818,1.1079999999999999
6.078,-0.6323,-0.9059,0.0863,1.1079999999999999
6.078,-0.624,-0.9088,0.0921,1.1059999999999999
6.079,-0.6177,-0.9102,0.098,1.104
6.082,-0.6061,-0.9101,0.1029,1.0979999999999999
6.087,-0.5978,-0.908,0.1102,1.093
6.087,-0.5842,-0.904,0.1151,1.082
6.089,-0.5737,-0.896,0.1205,1.071
6.091,-0.5591,-0.8885,0.1254,1.057
6.094,-0.5475,-0.8809,0.1313,1.045
6.096,-0.5344,-0.8715,0.1376,1.032
6.099,-0.5234,-0.8645,0.145,1.021
6.101,-0.5181,-0.8571,0.1494,1.013
6.107,-0.5123,-0.8537,0.1553,1.008
6.107,-0.5129,-0.8517,0.1587,1.0070000000000001
6.108,-0.5129,-0.8517,0.1602,1.0070000000000001
6.111,-0.5148,-0.8552,0.1611,1.011
6.113,-0.5177,-0.861,0.1597,1.0170000000000001
6.117,-0.5225,-0.869,0.1577,1.026
6.118,-0.5257,-0.8788,0.1562,1.036
6.121,-0.53,-0.8887,0.1533,1.046
6.123,-0.5342,-0.899,0.1474,1.056
6.125,-0.5399,-0.9108,0.142,1.068
6.128,-0.5446,-0.9206,0.1352,1.078
6.13,-0.5469,-0.929,0.1283,1.0859999999999999
6.133,-0.5472,-0.9358,0.1205,1.091
6.135,-0.5456,-0.9417,0.1132,1.094
6.139,-0.5411,-0.9446,0.1063,1.094
6.14,-0.5347,-0.9445,0.1,1.09
6.144,-0.5293,-0.9419,0.0961,1.085
6.145,-0.522,-0.937,0.0936,1.077
6.148,-0.5113,-0.93,0.0922,1.065
6.15,-0.5027,-0.9186,0.0912,1.051
6.153,-0.4896,-0.9082,0.0932,1.036
6.155,-0.48,-0.8963,0.0971,1.021
6.157,-0.4719,-0.8835,0.1015,1.0070000000000001
6.162,-0.4643,-0.8697,0.1083,0.992
6.162,-0.4587,-0.8545,0.1196,0.977
6.165,-0.4551,-0.8393,0.1289,0.963
6.167,-0.449,-0.8211,0.1392,0.946
6.17,-0.445,-0.802,0.1514,0.93
6.183,-0.4389,-0.7823,0.1617,0.9109999999999999
6.184,-0.4329,-0.7606,0.1724,0.892
6.184,-0.4269,-0.7396,0.1832,0.873
6.184,-0.4223,-0.7204,0.1911,0.857
6.184,-0.4216,-0.7008,0.1994,0.8420000000000001
6.185,-0.4233,-0.6857,0.2083,0.8320000000000001
6.187,-0.425,-0.672,0.2146,0.8240000000000001
6.189,-0.4302,-0.6569,0.2234,0.816
6.192,-0.4372,-0.6481,0.2298,0.815
6.196,-0.4466,-0.6409,0.2346,0.816
6.197,-0.457,-0.6342,0.2385,0.8170000000000001
6.199,-0.4741,-0.6353,0.24,0.828
6.202,-0.4897,-0.6365,0.2405,0.838
6.204,-0.5038,-0.6415,0.2376,0.85
6.207,-0.5223,-0.652,0.236,0.868
